|Haggard, H. Rider (Henry Rider)| |King Solomon's Mines| 2007 |Adventure stories,Africa,Diamond mines and mining,Hunting guides,Missing persons,Quatermain, Allan (Fictitious character),Treasure troves
|London, Jack| |The Call of the Wild| 1994 |Adventure stories,Animal welfare,Dogs,Feral dogs,Klondike River Valley (Yukon),Nature stories,Pet theft,Sled dogs
|Saki| |The Unbearable Bassington| 1991 |Manners and customs
|Gogol, Nikolai Vasilevich| |Dead Souls| 1915 |Humorous stories,Russia,Satire,Swindlers and swindling
|Smollett, T. (Tobias)| |The Expedition of Humphry Clinker| 2009 |Epistolary fiction,Great Britain,Travelers
|Hawthorne, Nathaniel| |The Scarlet Letter| 1990 |Adultery,Boston (Mass.),Clergy,Historical fiction,Illegitimate children,Married women,Psychological fiction,Puritans,Revenge,Triangles (Interpersonal relations),Women immigrants
|Burroughs, Edgar Rice| |A Princess of Mars| 1917 |Carter, John (Fictitious character),Dejah Thoris (Fictitious character),Mars (Planet),Princesses,Science fiction
|Hawthorne, Nathaniel| |The Scarlet Letter| 1871 |Adultery,Boston (Mass.),Clergy,Historical fiction,Illegitimate children,Married women,Psychological fiction,Puritans,Revenge,Triangles (Interpersonal relations),Women immigrants
|Flaubert, Gustave| |Madame Bovary| 2001 |Adultery,Domestic fiction,France,Married women,Middle class,Physicians' spouses,Suicide victims
|Saki| |The Unbearable Bassington| 2006 |Manners and customs
|Austen, Jane| |Pride and Prejudice| 1853 |Courtship,Domestic fiction,England,Love stories,Sisters,Social classes,Young women
|London, Jack| |The Call of the Wild| 1999 |Adventure stories,Animal welfare,Dogs,Feral dogs,Klondike River Valley (Yukon),Nature stories,Pet theft,Sled dogs
|Falkner, John Meade| |Moonfleet| 1982 |Adventure stories,England,Smugglers,Treasure troves
|Seldes, Gilbert| |The Seven Lively Arts| 1924 |American wit and humor,American wit and humor, Pictorial,Circus,Dance,Journalism,Motion pictures,Music,Theater
|Thackeray, William Makepeace| |Vanity Fair| 1997 |British,England,Female friendship,Married women,Satire,Social classes,Waterloo, Battle of, Waterloo, Belgium, 1815
|Voltaire| |Letters on England| 2002 |English literature,Great Britain,Great Britain,Great Britain,Imaginary letters,Philosophy, Modern
|Schiller, Friedrich| |Wilhelm Tell| 1800 |Tell, Wilhelm
|Falkner, John Meade| |Moonfleet| 1959 |Adventure stories,England,Smugglers,Treasure troves
|Thomas, à Kempis| |The Imitation of Christ| 1839 |Catholic Church,Meditations,Spiritual life
|Tarkington, Booth| |Penrod| 1914 |Bildungsromans,Boys,Humorous stories,Middle West
|London, Jack| |The Call of the Wild| 1974 |Adventure stories,Animal welfare,Dogs,Feral dogs,Klondike River Valley (Yukon),Nature stories,Pet theft,Sled dogs
|Crompton, Richmal| |Just William| 1983 |Humorous stories,William (Fictitious character from Crompton)
|Corneille, Pierre| |Polyeucte| 1666 |French drama,Polyeuctus, Saint, -approximately 259
|Augustine, Saint, Bishop of Hippo| |The Confessions of St. Augustine| 2007 |Augustine, Saint, Bishop of Hippo,Bishops,Catholic Church,Christian saints
|Storm, Theodor| |Der Schimmelreiter| 1953 |Dikes (Engineering),Historical fiction,Schleswig-Holstein (Germany)
|Dickens, Charles| |David Copperfield| 1999 |Autobiographical fiction,Bildungsromans,Boys,Child labor,England,Orphans,Stepfathers,Young men
|Butler, Ellis Parker| |Pigs is Pigs| 1908 |Humorous stories,Short stories
|Lawson, Henry| |Joe Wilson and His Mates| 1902 |Australia,Frontier and pioneer life,Historical fiction
|Peacock, Thomas Love| |Nightmare Abbey| 1818 |Gothic fiction,Humorous stories
|Sterne, Laurence| |A Sentimental Journey Through France and Italy| 1888 |British,British,Clergy,France,Humorous stories,Italy,Psychological fiction,Travelers
|Augustine, Saint, Bishop of Hippo| |The Confessions of St. Augustine| 1943 |Augustine, Saint, Bishop of Hippo,Bishops,Catholic Church,Christian saints
|Jerome, Jerome K. (Jerome Klapka)| |Three Men in a Boat (To Say Nothing of the Dog)| 1983 |Boats and boating,Dogs,Humorous stories, English,Male friendship,Thames River (England),Young men
|McCutcheon, George Barr| |Brewster's Millions| 1902 |Bildungsromans,Humorous stories,Inheritance and succession,Millionaires,Young men
|Whitman, Walt| |Leaves of Grass| 2004 |American poetry
|Hume, David| |An Enquiry Concerning Human Understanding| 1999 |Ethics,Knowledge, Theory of
|Henry, O.| |The Gentle Grafter| 1908 |Fiction,Humorous stories, American
|Thackeray, William Makepeace| |Vanity Fair| 1848 |British,England,Female friendship,Married women,Satire,Social classes,Waterloo, Battle of, Waterloo, Belgium, 1815
|Tolstoy, Leo, graf| |Anna Karenina| 2007 |Adultery,Didactic fiction,Love stories,Married women,Russia
|Falkner, John Meade| |Moonfleet| 1991 |Adventure stories,England,Smugglers,Treasure troves
|Brontë, Emily| |Wuthering Heights| 2000 |Domestic fiction,Foundlings,Heathcliff (Fictitious character : Brontë),Love stories,Psychological fiction,Rejection (Psychology),Revenge,Rural families,Triangles (Interpersonal relations),Yorkshire (England)
|Falkner, John Meade| |Moonfleet| 1951 |Adventure stories,England,Smugglers,Treasure troves
|Falkner, John Meade| |Moonfleet| 1995 |Adventure stories,England,Smugglers,Treasure troves
|Kalidasa| |Translations of Shakuntala and Other Works| 1912 |Sanskrit drama,Sanskrit poetry
|Grossmith, Weedon| |The Diary of a Nobody| 1918 |Diary fiction,England,Humorous stories,Men,Middle class,Suburban life
|Orczy, Emmuska Orczy, Baroness| |The Scarlet Pimpernel| 1900 |Adventure stories,Blakeney, Percy, Sir (Fictitious character),British,France,Historical fiction,Nobility
|Voltaire| |Letters on England| 1894 |English literature,Great Britain,Great Britain,Great Britain,Imaginary letters,Philosophy, Modern
|Thomas, à Kempis| |The Imitation of Christ| 1984 |Catholic Church,Meditations,Spiritual life
|Hume, David| |An Enquiry Concerning Human Understanding| 1993 |Ethics,Knowledge, Theory of
|Bierce, Ambrose| |The Devil's Dictionary| 9999 |English language,English language,Vocabulary
|Dostoyevsky, Fyodor| |Crime and Punishment| 1994 |Crime,Detective and mystery stories,Murder,Psychological fiction,Saint Petersburg (Russia)
|Dana, Richard Henry| |Two Years Before the Mast| 1840 |Dana, Richard Henry, 1815-1882,Sailors,Seafaring life,Voyages and travels
|Cather, Willa| |O Pioneers!| 1994 |Domestic fiction,Farm life,Frontier and pioneer life,Historical fiction,Nebraska,Siblings,Swedish Americans,Women farmers,Women immigrants,Women pioneers
|Gogol, Nikolai Vasilevich| |Dead Souls| 1961 |Humorous stories,Russia,Satire,Swindlers and swindling
|Thackeray, William Makepeace| |Vanity Fair| 1800 |British,England,Female friendship,Married women,Satire,Social classes,Waterloo, Battle of, Waterloo, Belgium, 1815
|Rizal, José| |Noli Me Tangere| 1912 |Historical fiction,Philippines
|Jerome, Jerome K. (Jerome Klapka)| |Three Men in a Boat (To Say Nothing of the Dog)| 2003 |Boats and boating,Dogs,Humorous stories, English,Male friendship,Thames River (England),Young men
|Blackmore, R. D. (Richard Doddridge)| |Lorna Doone: A Romance of Exmoor| 1886 |Exmoor (England),Historical fiction,Love stories,Monmouth's Rebellion, 1685
|Balzac, Honoré de| |Father Goriot| 2002 |Fathers and daughters,France,French fiction,Older men,Paris (France)
|Taylor, Meadows| |Confessions of a Thug| 1839 |Historical fiction,India,Thugs (Indic criminal group)
